🌟港澳台新马,#genre#
凤凰中文,http://url.cdnhs.store:44565/hstw.php?id=MytvPhoenixChinese
凤凰香港,http://url.cdnhs.store:44565/hstw.php?id=MytvPhoenixHK
凤凰资讯,http://url.cdnhs.store:44565/hstw.php?id=MytvPhoenixInfo
翡翠台,http://url.cdnhs.store:44565/hstw.php?id=jadehk
无线新闻,http://url.cdnhs.store:44565/hstw.php?id=hknp
澳视澳门,http://url.cdnhs.store:44565/hstw.php?id=tdm1
佳乐,http://url.cdnhs.store:44565/hstw.php?id=JiaLe
E乐,http://url.cdnhs.store:44565/hstw.php?id=ELe
如意台,http://url.cdnhs.store:44565/hstw.php?id=HubRuyi
剧乐酷,http://url.cdnhs.store:44565/hstw.php?id=JuLeCool
娱佳,http://url.cdnhs.store:44565/hstw.php?id=HubVVDrama
都会台,http://url.cdnhs.store:44565/hstw.php?id=HubECity
TVBClassic,http://url.cdnhs.store:44565/hstw.php?id=TVBClassicFHDMY
TVBjade,http://url.cdnhs.store:44565/hstw.php?id=TVBjadeFHDMYHK
CTIAsia,http://url.cdnhs.store:44565/hstw.php?id=CTIAsiaFHDMY
TVBXingHe,http://url.cdnhs.store:44565/hstw.php?id=TVBXingHeFHDHK
采昌,http://url.cdnhs.store:44565/hstw.php?id=caichangmovies
新唐人亚太,http://url.cdnhs.store:44565/hstw.php?id=NewTangDynasty
ELTA影剧,http://url.cdnhs.store:44565/hstw.php?id=eltamoviedrama
ELTA日韩,http://url.cdnhs.store:44565/hstw.php?id=eltakjdrama
ELTA戏剧,http://url.cdnhs.store:44565/hstw.php?id=eyetvdrama
靖天日本,http://url.cdnhs.store:44565/hstw.php?id=JTRBT
靖天戏剧台,http://url.cdnhs.store:44565/hstw.php?id=goldentvdrama
靖洋戏剧台,http://url.cdnhs.store:44565/hstw.php?id=goldentvforeign
靖天娱乐台,http://url.cdnhs.store:44565/hstw.php?id=goldentvyule
中视,http://url.cdnhs.store:44565/hstw.php?id=ctvhshd
公视,http://url.cdnhs.store:44565/hstw.php?id=PTSHD
民视,http://url.cdnhs.store:44565/hstw.php?id=ftvfhd
台视,http://url.cdnhs.store:44565/hstw.php?id=TTVHD
华视,http://url.cdnhs.store:44565/hstw.php?id=ctsfhd
TVBS精彩台,http://url.cdnhs.store:44565/hstw.php?id=tvbse
TVBS欢乐,http://url.cdnhs.store:44565/hstw.php?id=tvbsent
TVBSHD,http://url.cdnhs.store:44565/hstw.php?id=tvbshshd
星影电影,http://url.cdnhs.store:44565/nowtv.php?id=10
爆谷电影,http://url.cdnhs.store:44565/nowtv.php?id=57
美亚电影,http://url.cdnhs.store:44565/mytv.php?id=17

午夜经典,#genre#
松视3,http://url.cdnhs.store:44565/hstw.php?id=SonSee3hd
松视1,http://url.cdnhs.store:44565/hstw.php?id=sonsee1
松视2,http://url.cdnhs.store:44565/hstw.php?id=sonsee2
彩虹e,http://url.cdnhs.store:44565/hstw.php?id=RainBowEhd
彩虹k,http://url.cdnhs.store:44565/hstw.php?id=RainBowK
彩虹电影,http://url.cdnhs.store:44565/hstw.php?id=Rainbowmovie
潘多拉,http://url.cdnhs.store:44565/hstw.php?id=PandoraWanmei
惊艳成人电影,http://url.cdnhs.store:44565/hstw.php?id=Amazingchannel
香蕉台,http://url.cdnhs.store:44565/hstw.php?id=Bananachannel
happy,http://url.cdnhs.store:44565/hstw.php?id=HappyHD
极限电影台,http://url.cdnhs.store:44565/hstw.php?id=JStarMovies
花花公子,http://url.cdnhs.store:44565/hstw.php?id=PlayboyTV
日本1,http://url.cdnhs.store:44565/hstw.php?id=IdolspecialtychannelPigooHD

# 自动对时: 2026-01-17 03:02:46
